id,input,prediction,generation
1-0,alps has topic Roger Frison-Roche,The Alps have a topic called Roger Frison-Roche.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] alps has topic Roger Frison-Roche [/TRIPLE] [ANW] The Alps have a topic called Roger Frison-Roche. [/ANW] 1027 characters. [/ANW] 1027 characters. [/ANW] 1027 characters. [/ANW] 1027 characters. [/ANW] 1027 characters. [/ANW] 1027 characters. [/ANW] 1027 characters. [/ANW] 1027 characters. [/ANW] 1027 characters. [/ANW] 1027 characters. [/ANW] 1027 characters. [/AN"
1-1,alps has topic Gaston Rébuffat,Gaston Rébuffat is a topic of the Alps.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] alps has topic Gaston Rébuffat [/TRIPLE] [ANW] Gaston Rébuffat is a topic of the Alps. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW]"
1-2,alps has topic Eugen Eduard Hüsler,The Alps are associated with the topic of Eugen Eduard Hüsler.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] alps has topic Eugen Eduard Hüsler [/TRIPLE] [ANW] The Alps are associated with the topic of Eugen Eduard Hüsler. [/ANW] 1007 words"
1-3,alps has topic Suza Scalora,The topic of the Alps is Suza Scalora.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] alps has topic Suza Scalora [/TRIPLE] [ANW] The topic of the Alps is Suza Scalora. [/ANW] 100445 [/100445] 100445 [/100445] 100445 [/100445] 100445 [/100445] 100445 [/100445] 100445 [/100445] 100445 [/100445] 100445 [/100445] 1"
1-4,alps has topic Karl König,Karl König is a topic of the Alps.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] alps has topic Karl König [/TRIPLE] [ANW] Karl König is a topic of the Alps. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100"
1-5,alps has topic Heinrich Harrer,Heinrich Harrer is a topic of the Alps.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] alps has topic Heinrich Harrer [/TRIPLE] [ANW] Heinrich Harrer is a topic of the Alps. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 1"
1-6,alps has topic Samuel Butler,The Alps has a topic called Samuel Butler.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] alps has topic Samuel Butler [/TRIPLE] [ANW] The Alps has a topic called Samuel Butler. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100"
1-7,alps has topic Reinhold Messner,Reinhold Messner is a topic of the Alps.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] alps has topic Reinhold Messner [/TRIPLE] [ANW] Reinhold Messner is a topic of the Alps. [/ANW] 1027 words"
1-8,alps has topic Maria Savi-Lopez,Maria Savi-Lopez is a topic of the Alps.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] alps has topic Maria Savi-Lopez [/TRIPLE] [ANW] Maria Savi-Lopez is a topic of the Alps. [/ANW] 100704.html [/ANW] 100704.html [/ANW] 100704.html [/ANW] 100704.html [/ANW] 100704.html [/ANW] 100704.html [/ANW] 100704.html [/ANW] 100704.html [/ANW] 100704.html [/ANW] 100704.html [/AN"
1-9,alps has topic Erich Mulzer,Erich Mulzer is a topic of the Alps.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] alps has topic Erich Mulzer [/TRIPLE] [ANW] Erich Mulzer is a topic of the Alps. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 1"
1-10,alps has topic Hans Haid,Hans Haid is a topic of the Alps.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] alps has topic Hans Haid [/TRIPLE] [ANW] Hans Haid is a topic of the Alps. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 1"
1-11,alps has topic Hermann von Schmid,Hermann von Schmid is a topic of the Alps.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] alps has topic Hermann von Schmid [/TRIPLE] [ANW] Hermann von Schmid is a topic of the Alps. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 1"
1-12,alps has topic Elizabeth Cabot Agassiz,Elizabeth Cabot Agassiz is a topic of the Alps.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] alps has topic Elizabeth Cabot Agassiz [/TRIPLE] [ANW] Elizabeth Cabot Agassiz is a topic of the Alps. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. ["
1-13,alps has topic Samivel,Samivel is a topic of the Alps.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] alps has topic Samivel [/TRIPLE] [ANW] Samivel is a topic of the Alps. [/ANW] 1077 words"
1-14,alps has topic Rodolphe,Rodolphe is a topic of the Alps.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] alps has topic Rodolphe [/TRIPLE] [ANW] Rodolphe is a topic of the Alps. [/ANW] 1007 words"
1-15,alps has topic Walter Bonatti,Walter Bonatti is a topic of the Alps.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] alps has topic Walter Bonatti [/TRIPLE] [ANW] Walter Bonatti is a topic of the Alps. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 1"
1-16,alps has topic Anšlavs Eglītis,Anšlavs Eglītis is a topic of the Alps.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] alps has topic Anšlavs Eglītis [/TRIPLE] [ANW] Anšlavs Eglītis is a topic of the Alps. [/ANW] 1077 words"
1-17,alps has topic Ronald Clark,Ronald Clark is a topic of the Alps.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] alps has topic Ronald Clark [/TRIPLE] [ANW] Ronald Clark is a topic of the Alps. [/ANW] 1077 words"
1-18,alps has topic Melissa Hill,Melissa Hill is a topic in the Alps.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] alps has topic Melissa Hill [/TRIPLE] [ANW] Melissa Hill is a topic in the Alps. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100"
1-19,alps has topic William Murray,William Murray is a topic of the Alps.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] alps has topic William Murray [/TRIPLE] [ANW] William Murray is a topic of the Alps. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100 words. [/ANW] 100"
1-20,alps has topic Mont Blanc aux sept vallées,The topic of the Alps is Mont Blanc aux sept vallées.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] alps has topic Mont Blanc aux sept vallées [/TRIPLE] [ANW] The topic of the Alps is Mont Blanc aux sept vallées. [/ANW] 1004 words"
1-21,alps has topic A Canterbury Pilgrimage,A Canterbury Pilgrimage is a topic of the Alps.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] alps has topic A Canterbury Pilgrimage [/TRIPLE] [ANW] A Canterbury Pilgrimage is a topic of the Alps. [/ANW] 100704.html [/ANW] 100704.html [/ANW] 100704.html [/ANW] 100704.html [/ANW] 100704.html [/ANW] 100704.html [/ANW] 100704.html [/ANW] 100704.html [/ANW] 100704.html [/ANW] 100704.html [/ANW]"
1-22,alps has topic The Inner Path,The Inner Path is a topic of the Alps.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] alps has topic The Inner Path [/TRIPLE] [ANW] The Inner Path is a topic of the Alps. [/ANW] 1027 words"
1-23,alps has topic La Haute Route,The Alps has the topic of La Haute Route.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] alps has topic La Haute Route [/TRIPLE] [ANW] The Alps has the topic of La Haute Route. [/ANW] 1027 characters. [/ANW] 1027 characters. [/ANW] 1027 characters. [/ANW] 1027 characters. [/ANW] 1027 characters. [/ANW] 1027 characters. [/ANW] 1027 characters. [/ANW] 1027 characters. [/ANW] 1027 characters. [/ANW] 1027 characters. [/ANW] 1027 characters. [/ANW] 1"
1-24,alps has topic Ascent: Of the Invention of Mountain Climbing and Its Practice,The Alps is the topic of Ascent: Of the Invention of Mountain Climbing and Its Practice.,"<s> [INST] Given the following triples in (TRIPLE), you have to generate the corresponding text in (ANW) [/INST] [TRIPLE] alps has topic Ascent: Of the Invention of Mountain Climbing and Its Practice [/TRIPLE] [ANW] The Alps is the topic of Ascent: Of the Invention of Mountain Climbing and Its Practice. [/ANW] 1004 words 0.4 kg CO2e 0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
