id,answer
1,"The Alps have a topic called Roger Frison-Roche. Gaston Rébuffat is a topic of the Alps. The Alps are associated with the topic of Eugen Eduard Hüsler. The topic of the Alps is Suza Scalora. Karl König is a topic of the Alps. Heinrich Harrer is a topic of the Alps. The Alps has a topic called Samuel Butler. Reinhold Messner is a topic of the Alps. Maria Savi-Lopez is a topic of the Alps. Erich Mulzer is a topic of the Alps. Hans Haid is a topic of the Alps. Hermann von Schmid is a topic of the Alps. Elizabeth Cabot Agassiz is a topic of the Alps. Samivel is a topic of the Alps. Rodolphe is a topic of the Alps. Walter Bonatti is a topic of the Alps. Anšlavs Eglītis is a topic of the Alps. Ronald Clark is a topic of the Alps. Melissa Hill is a topic in the Alps. William Murray is a topic of the Alps. The topic of the Alps is Mont Blanc aux sept vallées. A Canterbury Pilgrimage is a topic of the Alps. The Inner Path is a topic of the Alps. The Alps has the topic of La Haute Route. The Alps is the topic of Ascent: Of the Invention of Mountain Climbing and Its Practice. The Alps is a topic of Ascent. The book Mythen der Alpen. Von Saligen, Weissen Frauen und Heiligen Bergen is about the Alps. The Summer Villa is a topic of the Alps. The Bavarian Highlands and the Salzkammergut are topics of the Alps. The book Elizabeth Cary Agassiz: A Biography is about the Alps. The Alps has the topic of Hochlandzauber. The Alps is the topic of the book The Mountains of My Life. A History of Mountaineering in the Alps is a topic of the Alps. The Great Days is a topic of the Alps. The classic novel Heidi, by Johanna Spyri, was originally illustrated. The Alps has the topic The Last Italian: Portrait of a People. The Bavarian Highlands And The Salzkammergut are topics of the Alps. Starlight and Storm is a topic of the Alps. The Alps and Sanctuaries of Piedmont and the Canton Ticino are topics. Leggende delle Alpi is a topic of the Alps."
10,Hilary Mantel is a Romanian publisher. Nicolae Leahu is a Romanian publisher. The Romanian publishing language is Miguel Delibes. Barbara Cartland was a Romanian publisher. Ian Fleming was a Romanian publisher. Camil Petrescu is a Romanian publisher. Mihail Sadoveanu is a Romanian publisher. Martin Amis is a Romanian publisher. Marin Sorescu is a Romanian publisher. P. D. James is a Romanian publisher. Dumitru Popescu is a Romanian publisher. The Romanian publishing language is Dimitrie Anghel. P. L. Travers was a Romanian publisher. Romanian is the publishing language of Nora Iuga. Miodrag Bulatović is a Romanian publisher. Louis Hémon is a Romanian publisher. Ion Druță is a Romanian publisher. Radu Tudoran is a Romanian publisher. Panait Istrati is a Romanian language publisher. Romanian is the publishing language of Nora Roberts.
11,Hilary Mantel is a Romanian publisher. Nicolae Leahu is a Romanian publisher. The Romanian publishing language is Miguel Delibes. Barbara Cartland was a Romanian publisher. Ian Fleming was a Romanian publisher. Camil Petrescu is a Romanian publisher. Mihail Sadoveanu is a Romanian publisher. Martin Amis is a Romanian publisher. Marin Sorescu is a Romanian publisher. P. D. James is a Romanian publisher. Dumitru Popescu is a Romanian publisher. The Romanian publishing language is Dimitrie Anghel. P. L. Travers was a Romanian publisher. Romanian is the publishing language of Nora Iuga. Miodrag Bulatović is a Romanian publisher. Louis Hémon is a Romanian publisher. Ion Druță is a Romanian publisher. Radu Tudoran is a Romanian publisher. Panait Istrati is a Romanian language publisher. Romanian is the publishing language of Nora Roberts.
13,Hilary Mantel is a Romanian publisher. Nicolae Leahu is a Romanian publisher. The Romanian publishing language is Miguel Delibes. Barbara Cartland was a Romanian publisher. Ian Fleming was a Romanian publisher. Camil Petrescu is a Romanian publisher. Mihail Sadoveanu is a Romanian publisher. Martin Amis is a Romanian publisher. Marin Sorescu is a Romanian publisher. P. D. James is a Romanian publisher. Dumitru Popescu is a Romanian publisher. The Romanian publishing language is Dimitrie Anghel. P. L. Travers was a Romanian publisher. Romanian is the publishing language of Nora Iuga. Miodrag Bulatović is a Romanian publisher. Louis Hémon is a Romanian publisher. Ion Druță is a Romanian publisher. Radu Tudoran is a Romanian publisher. Panait Istrati is a Romanian language publisher. Romanian is the publishing language of Nora Roberts.
14,"Patricia Esteban Erlés wrote Casa de muñecas. Editorial Páginas de Espuma is the publisher of Casa de muñecas. Paginas De Espuma is the publisher of Casa de muñecas. Casa de muñecas is published in Spanish; Castilian. Casa de muñecas is a work of fiction. Henrik Ibsen wrote Casa de muñecas. Casa de muñecas is published by Oxford University Press. Casa de muñecas is published by Cambridge University Press. Thomas Nelson is the publisher of Casa de muñecas. Casa de muñecas is published by Players Press. The Floating Press is the publisher of Casa de muñecas. Casa de muñecas is published by Samuel French. Casa de muñecas is published by Heinemann. Casa de muñecas is published by Methuen. Casa de muñecas is published by Nick Hern Books. Casa de muñecas is published by the Modern Library. Casa de muñecas is published by Anchor Books. Casa de muñecas is published by Nelson. Casa de muñecas is published by Dover Publications. Casa de muñecas is published by Dramatists Play Service. Charles Scribner's Sons is the publisher of Casa de muñecas. Dutton is the publisher of Casa de muñecas. E.P. Dutton is the publisher of Casa de muñecas. NuVision Publications is the publisher of Casa de muñecas. Eyre Methuen is the publisher of Casa de muñecas. R. Hart-Davis is the publisher of Casa de muñecas. Casa de muñecas is published in English. Casa de muñecas is published in German. Casa de muñecas is published in Spanish; Castilian. Casa de muñecas is published in Spanish. Casa de muñecas is published in Hebrew. Casa de muñecas is published in Yiddish. Casa de muñecas is published in Gujarati. Casa de muñecas is published in Kannada. Casa de muñecas is published in Urdu. Casa de muñecas is published in Marathi. The topic of Casa de muñecas is German. Casa de muñecas is a collection of dramatic texts from around 1900. Casa de muñecas is a work of fiction and is considered a classic. Casa de muñecas is a work of general and literary fiction. Casa de muñecas is a European - Scandinavian topic. Casa de muñecas is an English drama. The topic of Casa de muñecas is general. Casa de muñecas is about audio drama and poetry. Casa de muñecas is a work of fiction. Casa de muñecas is a classic piece of literature. Casa de muñecas is about plays and drama. Casa de muñecas is a classic. The topic of Casa de muñecas is Norway. The topic of Casa de muñecas is sociology. Casa de muñecas is a drama text and play. Casa de muñecas is a work of literature and fiction and drama. The topic of Casa de muñecas is education, specifically bilingual education. The topic of Casa de muñecas is marriage. Casa de muñecas has the topic of foreign language - dictionaries / phrase books. The topic of Casa de muñecas is wives. Casa de muñecas was published in London. Casa de muñecas was published in New York. Casa de muñecas was published in Barcelona. Casa de muñecas was published in Toronto. Casa de muñecas was published in Chicago. Casa de muñecas was published in Boston. Casa de muñecas was published in Madrid. Casa de muñecas was published in Cambridge. Casa de muñecas was published in Garden City. Casa de muñecas was published in Sioux Falls. Casa de muñecas was published in Chatham. Casa de muñecas was published in Portland. Casa de muñecas was published in Oslo. Casa de muñecas was published on Waiheke Island. Casa de muñecas was published in Amadāvāda. Casa de muñecas was published in Studio City. Casa de muñecas was published in Puṇẽ. Casa de muñecas was published in Bengaluru. Casa de muñecas was published in Droitwich. Casa de muñecas was published in Nyu Yor. Casa de muñecas was published in 1996. Casa de muñecas was published in 2002. Casa de muñecas was published in 1995. Casa de muñecas was published in 1993. Casa de muñecas was published in 1932. Casa de muñecas was published in 1999. Casa de muñecas was published in 1965. Casa de muñecas was published in 1950. Casa de muñecas was published in 1997. Casa de muñecas was published in 2004. Casa de muñecas was published in 1972. Casa de muñecas was published in 1978. Casa de muñecas was published in 1982. Casa de muñecas was published in 2009. Casa de muñecas was published in 1998. Casa de muñecas was published in 1946. Casa de muñecas was published in 1961. Casa de muñecas was published in 1910. Casa de muñecas was published in 1907. Casa de muñecas was published in 1908."
15,"The book has the topic of Stanisław Lem. Hans Wollschläger is the topic of a book. Wilfrid Sheed is the topic of a book. Mavis Gallant is a topic in books. The book has the topic of André Kertész. The book has the topic of Maria Czapska. The book has a topic of Jean-Louis Bailly. Richard Scarry is the author of many books. Jennifer Donnelly is the author of a book. Martin Amis is a topic of books. Louis MacNeice is a topic of books. Anthony Burgess is the author of several books. Keri Smith is the author of a book. Nicholas A. Basbanes is the author of a book. S. R. Ranganathan is the topic of a book. The topic of some books is René Guénon. Hellmut Lehmann-Haupt is the author of a book. Will Eisner is the topic of some books. The book has the topic of Pedro Bandeira. Bernard Cooper is the author of a book. Von Sternen und Schnuppen is the topic of the book Bei Gelegenheit einiger Bücher. Urgent Copy is a book. The book One John A. Too Many has the topic of One John A. Too Many. Comptes Rendus is a topic of books. The book ""The Letters of Algernon Charles Swinburne, Volume 1"" is available. The book Paris Notebooks: Essays & Reviews has the topic of books. The book La voz del arbol is about the topic of books. Noticias de libros is a book. The book But Excuse Me That Is My Book has the topic of books. The Converts is a book. The book ""Frantumi seguiti da Plausi e Botte"" has the topic of Plausi e Botte. This is Not the End of the Book is a book. The Book: An Homage is a book. The Noise of Time: Selected Prose is a book. The Hidden Cottage is a book. The book ""How to Live Forever"" is about how to live forever. The book In the Heart of the Sea: The Tragedy of the Whaleship Essex is about the whaleship Essex. The Land of Plenty is a book. The book has the topic of Mark Twain's Burlesque Autobiography. The Compleat Angler is a book."
2,Felix Milleker is a topic of banat. Johann Lippet is a topic of banat. The topic of banat is Die Tür zur hinteren Küche: Roman.
3,"The book Travel Books and Other Writings, 1916-1941 is about American fiction in English."
4,"Steven V. Roberts is the author of travel books. Jancis Robinson is the author of travel books. The book ""Wine Trails of Washington: A guide for uncorking your memorable wine tour"" is about travel. The book ""Wine Trails of Walla Walla: A Guide for Uncorking Your Memorable Wine Tour"" is about wine. The book American Wine: The Ultimate Companion to the Wines and Wineries of the United States is a travel book."
5,"Dervla Murphy is a topic in Transylvania. The book ""Transylvania and beyond"" is about Transylvania."
