id,input,prediction
1-7,alps has topic Reinhold Messner,Reinhold Messner is a topic of the Alps.
1-18,alps has topic Melissa Hill,Melissa Hill is a topic in the Alps.
1-20,alps has topic Mont Blanc aux sept vallées,The topic of the Alps is Mont Blanc aux sept vallées.
1-26,"alps has topic Mythen der Alpen. Von Saligen, Weissen Frauen und Heiligen Bergen.","The book Mythen der Alpen. Von Saligen, Weissen Frauen und Heiligen Bergen is about the Alps."
1-27,alps has topic The Summer Villa,The Summer Villa is a topic of the Alps.
1-38,alps has topic Alps and Sanctuaries of Piedmont and the Canton Ticino,The Alps and Sanctuaries of Piedmont and the Canton Ticino are topics.
1-39,alps has topic Leggende delle Alpi,Leggende delle Alpi is a topic of the Alps.
5-0,transylvania has topic Dervla Murphy,Dervla Murphy is a topic in Transylvania.
6-10,morocco has topic Abdallah Laroui,Abdallah Laroui is a topic in Morocco.
6-35,morocco has topic Morocco; Volume II,Volume II is a topic of Morocco.
8-4,provence has topic J. Robert Janes,J. Robert Janes is a topic in Provence.
8-5,provence has topic Louise Dean,Louise Dean is a topic in Provence.
8-7,provence has topic Raymond Jean,Raymond Jean is a topic in Provence.
8-13,provence has topic The idea of love,The idea of love is a topic in Provence.
8-18,provence has topic A troubadour's testament,A troubadour's testament is a topic in Provence.
8-22,provence has topic Lian lian shan cheng,Lian lian shan cheng is a topic in Provence.
8-24,provence has topic fontaine obscure,The topic of Fontaine is obscure in Provence.
9-11,French publishing language Felwine Sarr,Felwine Sarr is a French publisher.
9-21,French publishing language Cory Doctorow,Cory Doctorow is a French publisher.
9-23,French publishing language Rosa Montero,Rosa Montero is a French publisher.
9-33,French publishing language Elizabeth Goudge,Elizabeth Goudge was a French publisher.
9-39,French publishing language Maxine Trottier,Maxine Trottier is a French publisher.
10-8,Romanian publishing language Marin Sorescu,Marin Sorescu is a Romanian publisher.
10-12,Romanian publishing language P. L. Travers,P. L. Travers was a Romanian publisher.
10-18,Romanian publishing language Panait Istrati,Panait Istrati is a Romanian language publisher.
11-10,Romanian publishing language Dumitru Popescu,Dumitru Popescu is a Romanian publisher.
11-14,Romanian publishing language Miodrag Bulatović,Miodrag Bulatović is a Romanian publisher.
11-16,Romanian publishing language Ion Druță,Ion Druță is a Romanian publisher.
11-19,Romanian publishing language Nora Roberts,Romanian is the publishing language of Nora Roberts.
13-13,Romanian publishing language Nora Iuga,Romanian is the publishing language of Nora Iuga.
13-16,Romanian publishing language Ion Druță,Ion Druță is a Romanian publisher.
13-18,Romanian publishing language Panait Istrati,Panait Istrati is a Romanian language publisher.
14-9,Casa de muñecas has publisher Players Press,Casa de muñecas is published by Players Press.
14-20,Casa de muñecas has publisher Charles Scribner's Sons,Charles Scribner's Sons is the publisher of Casa de muñecas.
14-23,Casa de muñecas has publisher NuVision Publications,NuVision Publications is the publisher of Casa de muñecas.
14-38,Casa de muñecas has topic fiction / classics,Casa de muñecas is a work of fiction and is considered a classic.
14-40,Casa de muñecas has topic european - scandinavian,Casa de muñecas is a European - Scandinavian topic.
14-44,Casa de muñecas has topic fiction,Casa de muñecas is a work of fiction.
14-47,Casa de muñecas has topic classics,Casa de muñecas is a classic.
14-49,Casa de muñecas has topic sociology,The topic of Casa de muñecas is sociology.
14-52,Casa de muñecas has topic education / bilingual education,"The topic of Casa de muñecas is education, specifically bilingual education."
14-62,Casa de muñecas publishing place Madrid,Casa de muñecas was published in Madrid.
14-75,Casa de muñecas publishing place Nyu Yor ̣,Casa de muñecas was published in Nyu Yor.
14-76,Casa de muñecas publishing year 1996,Casa de muñecas was published in 1996.
14-85,Casa de muñecas publishing year 2004,Casa de muñecas was published in 2004.
14-95,Casa de muñecas publishing year 1908,Casa de muñecas was published in 1908.
15-27,books has topic Noticias de libros,Noticias de libros is a book.
15-31,books has topic This is Not the End of the Book,This is Not the End of the Book is a book.
15-37,books has topic The Land of Plenty,The Land of Plenty is a book.
15-38,books has topic Mark Twain's Burlesque Autobiography,The book has the topic of Mark Twain's Burlesque Autobiography.
