id,answer
1,"Roger Frison-Roche is a topic of the Alps. Gaston Rébuffat has written about the Alps. Eugen Eduard Hüsler is a topic of the Alps. Suza Scalora is a topic related to the Alps. Karl König is a topic of the Alps. Heinrich Harrer was a climber of the Alps. The Alps has the topic of Samuel Butler. Reinhold Messner is a topic of the Alps. Maria Savi-Lopez is a topic related to the Alps. Erich Mulzer is a topic related to the Alps. Hans Haid is a topic related to the Alps. Hermann von Schmid is a topic of the Alps. Elizabeth Cabot Agassiz is a topic related to the Alps. Samivel has written about the Alps. Rodolphe is a topic of the Alps. Walter Bonatti has written about the Alps. Anšlavs Eglītis is a topic of the Alps. Ronald Clark is a topic of the Alps. Melissa Hill is a topic related to the Alps. William Murray is a topic of the Alps. The Alps includes Mont Blanc and Aux Sept Vallées. The Alps is the location of A Canterbury Pilgrimage. The Alps has the topic, The Inner Path. La Haute Route is a topic of the Alps. The Alps is the topic of Ascent: Of the Invention of Mountain Climbing and Its Practice. The Alps has the topic of Ascent. The Alps has the topic Mythen der Alpen. Von Saligen, Weissen Frauen und Heiligen Bergen. The Alps has the topic The Summer Villa. The Alps has the topic The Bavarian Highlands and the Salzkammergut. Elizabeth Cary Agassiz: A Biography is about the Alps. Hochlandzauber is a topic related to the Alps. The Alps is the topic of The Mountains of My Life. A History of Mountaineering in the Alps is a topic about the Alps. The Alps have The Great Days as a topic. Heidi is a classic novel by Johanna Spyri with original illustrations. The Alps has been covered in The Last Italian: Portrait of a People. The Alps has the topic The Bavarian Highlands And The Salzkammergut. Starlight and Storm are topics related to the Alps. The Alps and Sanctuaries of Piedmont and the Canton Ticino is a topic related to the Alps. The Alps has the topic Leggende delle Alpi."
10,Hilary Mantel writes in Romanian. Nicolae Leahu is a Romanian publishing language. Miguel Delibes is a Romanian language publisher. Barbara Cartland published in Romanian. Ian Fleming is a Romanian publishing language. Camil Petrescu is a Romanian writer. Mihail Sadoveanu is a Romanian publishing language. Martin Amis writes in Romanian. Marin Sorescu was a Romanian writer. P. D. James is published in Romanian. Dumitru Popescu is a Romanian publisher. Dimitrie Anghel is a Romanian publisher. P. L. Travers is a Romanian publishing language. Nora Iuga is a Romanian language publisher. Miodrag Bulatović is a Romanian language publisher. Louis Hémon was a Romanian writer. Ion Druță is a Romanian publisher. Radu Tudoran is a Romanian writer. Panait Istrati is a Romanian author. Nora Roberts is a Romanian language author.
11,Hilary Mantel writes in Romanian. Nicolae Leahu is a Romanian publishing language. Miguel Delibes is a Romanian publisher. Barbara Cartland's writing is published in Romanian. Ian Fleming was a Romanian publisher. Camil Petrescu is a Romanian language publisher. Mihail Sadoveanu is a Romanian language writer. Martin Amis writes in Romanian. Marin Sorescu was a Romanian writer. P. D. James is a Romanian publishing language. Dumitru Popescu is a Romanian publishing language. Dimitrie Anghel is a Romanian language publisher. P. L. Travers is a Romanian publishing language. Nora Iuga is a Romanian language publisher. Miodrag Bulatović is a Romanian publisher. Louis Hémon published in Romanian. Ion Druță is a Romanian publishing language. Radu Tudoran is a Romanian publisher. Panait Istrati is a Romanian writer. Nora Roberts writes in Romanian.
13,Hilary Mantel writes in Romanian. Nicolae Leahu is a Romanian writer. Miguel Delibes was a Romanian writer. Barbara Cartland writes in Romanian. Ian Fleming is a Romanian publishing language. Camil Petrescu is a Romanian publisher. The publishing language in Romania is Mihail Sadoveanu. Martin Amis writes in Romanian. Marin Sorescu is a Romanian writer. P.D. James is a published author in Romanian. Dumitru Popescu is a Romanian language publisher. Dimitrie Anghel was a Romanian language publisher. P. L. Travers is a Romanian publishing language. Nora Iuga is a Romanian language publisher. Miodrag Bulatović is a Romanian language publisher. Louis Hémon was a Romanian writer. Ion Druță is a Romanian language publisher. Radu Tudoran is a Romanian publisher. Panait Istrati is a Romanian writer. Nora Roberts is a Romanian publishing language.
14,"Casa de muñecas was written by Patricia Esteban Erlés. Casa de muñecas is published by Editorial Páginas de Espuma. Paginas De Espuma is the publisher of Casa de muñecas. The publishing language of Casa de muñecas is Castilian, which is also known as Spanish. The Casa de muñecas has a topic of fiction. Henrik Ibsen wrote Casa de muñecas. Oxford University Press is the publisher of Casa de muñecas. Casa de muñecas is published by Cambridge University Press. The Casa de muñecas is published by Thomas Nelson. Casa de muñecas is published by Players Press. The Floating Press is the publisher of Casa de muñecas. Samuel French is the publisher of Casa de muñecas. Casa de muñecas has the publisher Heinemann. Methuen is the publisher of Casa de muñecas. Casa de muñecas is published by Nick Hern Books. The Modern Library is the publisher of Casa de muñecas. Casa de muñecas was published by Anchor Books. The publisher of Casa de muñecas is Nelson. Dover Publications is the publisher of Casa de muñecas. Casa de muñecas has the publisher Dramatists Play Service. Casa de muñecas has the publisher Charles Scribner's Sons. Dutton is the publisher of Casa de muñecas. E.P. Dutton is the publisher of Casa de muñecas. NuVision Publications is the publisher of Casa de muñecas. The publisher of Casa de muñecas is Eyre Methuen. R. Hart-Davis is the publisher of Casa de muñecas. Casa de muñecas was published in English. Casa de muñecas was published in German. The publishing language of Casa de muñecas is Spanish (Castilian). The publishing language of Casa de muñecas is Spanish. The Casa de muñecas was published in Hebrew. The Casa de muñecas was published in Yiddish. Casa de muñecas was published in Gujarati. The publishing language of Casa de muñecas is Kannada. Casa de muñecas is published in Urdu. The Casa de muñecas was published in Marathi. The topic of Casa de muñecas is German. The Casa de muñecas has drama texts from 1900 onwards. Casa de muñecas is a fiction classic. Casa de muñecas is a general & literary fiction. The topic of Casa de muñecas is European - Scandinavian. Casa de muñecas is a topic of English drama. Casa de muñecas has a general topic. Casa de muñecas has the topic of audio drama and poetry. The topic of Casa de muñecas is fiction. Casa de muñecas is a classic of literature. The topic of Casa de muñecas is plays/drama. Casa de muñecas is about classics. The topic of Casa de muñecas is Norway. The topic of Casa de muñecas is sociology. The topic of Casa de muñecas is drama texts and plays. Casa de muñecas is about literature & fiction / drama. Casa de muñecas is about bilingual education. Casa de muñecas is about marriage. Casa de muñecas is about foreign language - dictionaries / phrase books. Casa de muñecas has the topic of wives. The Casa de muñecas was published in London. Casa de muñecas was published in New York. Casa de muñecas was published in Barcelona. Casa de muñecas was published in Toronto. Casa de muñecas was published in Chicago. Casa de muñecas was published in Boston. Casa de muñecas was published in Madrid. Casa de muñecas was published in Cambridge. Casa de muñecas was published in Garden City. Casa de muñecas was published in Sioux Falls. The Casa de muñecas was published in Chatham. Casa de muñecas was published in Portland. The Casa de muñecas was published in Oslo. Casa de muñecas was published on Waiheke Island. Casa de muñecas was published in Amadāvāda. Casa de muñecas was published in Studio City. Casa de muñecas was published in Puṇẽ. Casa de muñecas was published in Bengaluru. Casa de muñecas was published in Droitwich. Casa de muñecas was published in New York. Casa de muñecas was published in 1996. Casa de muñecas was published in 2002. Casa de muñecas was published in 1995. Casa de muñecas was published in 1993. The Casa de muñecas was published in 1932. Casa de muñecas was published in 1999. Casa de muñecas was published in 1965. Casa de muñecas was published in 1950. The book Casa de muñecas was published in 1997. Casa de muñecas was published in 2004. Casa de muñecas was published in 1972. Casa de muñecas was published in 1978. Casa de muñecas was published in 1982. Casa de muñecas was published in 2009. Casa de muñecas was published in 1998. Casa de muñecas was published in 1946. Casa de muñecas was published in 1961. Casa de muñecas was published in 1910. Casa de muñecas was published in 1907. Casa de muñecas was published in 1908."
15,"Stanisław Lem is a topic of books. Hans Wollschläger is a topic in books. Wilfrid Sheed is the author of books. Mavis Gallant is a topic of books. André Kertész is the author of books. Maria Czapska is the topic of books. Jean-Louis Bailly is a topic in books. Richard Scarry is a topic of books. Jennifer Donnelly is the author of books. Martin Amis is the author of books. Louis MacNeice is a topic of books. Anthony Burgess is a topic of books. Keri Smith is a writer of books. Nicholas A. Basbanes is the author of books. S. R. Ranganathan is a topic in books. Rene Guenon is a topic of books. Hellmut Lehmann-Haupt is a topic of books. Will Eisner is a topic of books. Pedro Bandeira is the author of books. Bernard Cooper is a topic of books. Von Sternen und Schnuppen is a topic in books. Urgent Copy is a topic of books. One John A. Too Many is a book. Comptes Rendus is a topic of books. The Letters of Algernon Charles Swinburne, Volume 1 is a book. The topic of books is Paris Notebooks: Essays & Reviews. La voz del árbol is a topic of books. Noticias de libros is a topic of books. The book ""But Excuse Me That Is My Book"" is about books. The Converts is a topic of books. The books ""Frantumi seguiti da Plausi e Botte"" is about books. This is Not the End of the Book is a topic in books. The Book: An Homage is about books. The Noise of Time: Selected Prose is a book. The Hidden Cottage is a topic in books. How to Live Forever is a topic of books. In the Heart of the Sea: The Tragedy of the Whaleship Essex is a book. The Land of Plenty is a topic of books. Mark Twain's Burlesque Autobiography is a book. The Compleat Angler is a book."
2,Felix Milleker is a topic of Banat. Johann Lippet is a topic of Banat. Banat has the topic Die Tür zur hinteren Küche: Roman.
3,"Travel Books and Other Writings, 1916-1941 is about American fiction in English."
4,"Steven V. Roberts is a writer of travel books. Jancis Robinson is a topic of travel books. WineTrails of Washington: A guide for uncorking your memorable wine tour is a travel book. WineTrails of Walla Walla: A Guide for Uncorking Your Memorable Wine Tour is a travel book. The travel book ""American Wine: The Ultimate Companion to the Wines and Wineries of the United States"" is about American wine."
5,Dervla Murphy is the author of Transylvania. Transylvania has the topic of Transylvania and beyond.
